Anweisung,die,Anweisungen,instruction
Anzeige,die,Anzeigen,advertisement/report
anziehen,–,–,to put on
Anzug,der,Anzüge,suit
Apartment,das,Apartments,apartment
Apfel,der,Äpfel,apple
Apfelsaft,der,Apfelsäfte,apple juice
Apfelsaftschorle,die,Apfelsaftschorlen,apple juice spritzer
Apfelschorle,die,Apfelschorlen,apple spritzer
Apotheke,die,Apotheken,pharmacy
App,die,Apps,app
April,der,–,April
Arabisch,–,–,Arabic
Arbeit,die,Arbeiten,work
arbeiten (1/2),–,–,to work
Arbeitsalltag,der,–,workday routine
arbeitslos,–,–,unemployed
Arbeitsplatz,der,Arbeitsplätze,workplace
Arbeitszeit,die,Arbeitszeiten,working hours
Arbeitszimmer,das,Arbeitszimmer,home office
Architekt,der,Architekten,architect (male)
Architektin,die,Architektinnen,architect (female)
Architektur,die,–,architecture
argentinisch,–,–,Argentinian
Arm,der,Arme,arm
Art,die,Arten,"kind, type"
Artikel,der,Artikel,article
Artikelbild,das,Artikelbilder,article image
Arzt,der,Ärzte,doctor (male)
Arztbesuch,der,Arztbesuche,doctor visit
Ärztin,die,Ärztinnen,doctor (female)
asiatisch,–,–,Asian
Assoziation,die,Assoziationen,association
Atelier,das,Ateliers,studio
Atmosphäre,die,–,atmosphere
Attraktion,die,Attraktionen,attraction
attraktiv,–,–,attractive
auch,–,–,also
auf (1/2/3),–,–,on / at / onto
auf jeden Fall,–,–,definitely
auf sein,–,–,to be up
auf Wiederhören,–,–,goodbye (on the phone)
auf Wiedersehen,–,–,goodbye
Aufforderung,die,Aufforderungen,"request, command"
Aufgabe,die,Aufgaben,task
aufhängen,–,–,to hang up
aufhören,–,–,to stop
aufmachen,–,–,to open
aufpassen,–,–,to pay attention
aufschreiben,–,–,to write down
aufstehen,–,–,to get up
aufstellen,–,–,to set up
Aufzug,der,Aufzüge,elevator
Auge,das,Augen,eye
August,der,–,August
aus (1/2),–,–,from / out of
Ausdruck,der,Ausdrücke,expression
ausdrücken,–,–,to express
Ausflug,der,Ausflüge,excursion
ausfüllen,–,–,to fill out
Ausgang,der,Ausgänge,exit
ausgehen,–,–,to go out
Auskunft,die,Auskünfte,information
Ausland,das,–,abroad
ausmachen,–,–,to turn off
Aussage,die,Aussagen,statement
Aussagesatz,der,Aussagesätze,declarative sentence
aussehen,–,–,to look like
außerhalb,–,–,outside of
Äußerung,die,Äußerungen,utterance
Aussprache,die,–,pronunciation
aussteigen,–,–,to get off/out (vehicle)
Ausstellung,die,Ausstellungen,exhibition
Ausweis,der,Ausweise,ID card
auswendig,–,–,by heart
ausziehen,–,–,to take off / move out
Auto,das,Autos,car
Autobahn,die,Autobahnen,highway
Automat,der,Automaten,vending machine
Baby,das,Babys,baby
Bäcker,der,Bäcker,baker (male)
Bäckerei,die,Bäckereien,bakery
Bad,das,Bäder,bathroom
Badeanzug,der,Badeanzüge,swimsuit
Badehose,die,Badehosen,swim trunks
Bademode,die,Bademoden,swimwear
baden,–,–,to bathe
Badeurlaub,der,Badeurlaube,beach holiday
Bahnhof,der,Bahnhöfe,train station
Bahnsteig,der,Bahnsteige,platform
bald,–,–,soon
Balkon,der,Balkone,balcony
Ball,der,Bälle,ball
Banane,die,Bananen,banana
Bank (1 - bench),die,Bänke,bench
Bank (2 - institution),die,Banken,bank
Bar,die,Bars,bar
bar,–,–,cash
Basketball,–,–,basketball
Bauch,der,Bäuche,belly
Bauchschmerzen,die,– (Pl.),stomachache
Baum,der,Bäume,tree
Baustelle,die,Baustellen,construction site
Bauzeit,die,–,construction time
beantworten,–,–,to answer
Becher,der,Becher,cup
bedeuten,–,–,to mean
Befinden,das,–,well-being
Begeisterung,die,–,enthusiasm
Beginn,der,–,beginning
beginnen,–,–,to begin
bei,–,–,at / with
beide,–,–,both
Bein,das,Beine,leg
Beisl,das,Beisln,(Austrian) pub
Beispiel,das,Beispiele,example
Beiz,die,Beizen,(Swiss) bar
bekannt,–,–,known
Bekannte (m/f),der/die,Bekannten,acquaintance
bekommen,–,–,to receive
beliebt,–,–,popular
benutzen,–,–,to use
bequem,–,–,comfortable
Berg,der,Berge,mountain
Bergtour,die,Bergtouren,mountain tour
Bericht,der,Berichte,report
berichten,–,–,to report
Beruf,der,Berufe,profession
berühmt,–,–,famous
beschreiben,–,–,to describe
besetzt,–,–,occupied
besichtigen,–,–,to visit
besondere(r/s),–,–,special
besonders,–,–,especially
Besprechung,die,Besprechungen,meeting
besser,–,–,better
bestellen,–,–,to order
Bestellung,die,Bestellungen,order
bestimmt (1/2),–,–,certain / definite
Besuch,der,Besuche,visit
besuchen,–,–,to visit
Besucher,der,Besucher,visitor (male)
Besucherin,die,Besucherinnen,visitor (female)
betont,–,–,stressed (syllable)
Betonung,die,Betonungen,emphasis
Betreff,der,Betreffe,subject (of an email)
betreuen,–,–,to take care of / supervise
Bett,das,Betten,bed
bewegen,-,-,to move
Bewegung,die,-en,movement
Bewerbung,die,-en,application
Bewohner,der,-,inhabitant (masculine)
Bewohnerin,die,-nen,inhabitant (feminine)
bewölkt,-,-,cloudy
bezahlen,-,-,to pay
Bibliothek,die,-en,library
Biergarten,der,-,beer garden
Bikini,der,-s,bikini
Bild,das,-er,picture
bilden,-,-,to form
Bildgeschichte,die,-n,comic story
billig,-,-,cheap
Birne,die,-n,pear
bis,-,-,until
bis bald,-,-,see you soon
bis dann,-,-,until then
bis später,-,-,see you later
bis zu,-,-,up to
bitte,-,-,please
Bitte,die,-n,request
blau,-,-,blue
bleiben,-,-,to stay
Bleistift,der,-e,pencil
Blick,der,-e,glance
Blog,der,-s,blog
Blume,die,-n,flower
Bluse,die,-n,blouse
Blut,das,-,blood
böse,-,-,"evil, bad"
Brasilien,-,-,Brazil
brauchen,-,-,to need
braun,-,-,brown
breit,-,-,wide
Brief,der,-e,letter
Briefstandard,der,-s,letterhead
bringen,-,-,to bring
Brot,das,-e,bread
Brötchen,das,-,roll
Brücke,die,-n,bridge
Bruder,der,-,brother
Buch,das,-er,book
Buchladen,der,-,bookstore
Buchstabe,der,-n,letter (of the alphabet)
buchstabieren,-,-,to spell
Bühne,die,-n,stage
Bulgarisch,-,-,Bulgarian
Burg,die,-en,castle
Büro,das,-s,office
Bus,der,-se,bus
Butter,die,-,butter
Butterbrot,das,-e,sandwich (with butter)
Café,das,-s,café
Campingurlaub,der,-e,camping holiday
CD,die,-s,CD
Cents,der,-s,cents
Champignon,der,-s,mushroom
Chef,der,-s,boss
Chefin,die,-nen,boss (feminine)
chillen,-,-,to chill (relax)
Chips,die,-,chips
Chor,der,-e,choir
ciao,-,-,bye (informal)
circa,-,-,about
Club,der,-s,club
Cola,die/das,-s,cola
Comic,der,-s,comic
Computer,der,-,computer
Computerarbeit,die,-,computer work
Computerfirma,die,-firmen,computer company
Computerproblem,das,-e,computer problem
cool,-,-,cool
da,-,-,there
da sein,-,-,to be there
da vorne,-,-,over there
Dame,die,-n,lady
Damenmode,die,-n,women's fashion
danach,-,-,afterwards
daneben,-,-,"next to, beside"
Dank,der,-,thanks
danke,-,-,thank you
danke schön,-,-,thank you very much
danken,-,-,to thank
dann,-,-,then
darauf,-,-,"thereupon, on it"
das,-,-,that (demonstrative pronoun)
Datei,die,-en,file
Daten,die,-,data
Dativ,der,-,dative case
Datum,das,-,date
dauern,-,-,to last
dazu,-,-,to that
Decke,die,-n,"ceiling, blanket"
Deckel,der,-,lid
dein,-,-,your (informal)
dem,-,-,to them (dative)
Demonstrativartikel,der,-,demonstrative article
den,-,-,"the (accusative, masculine)"
denken,-,-,to think
denn,-,-,because
Design,das,-s,design
Designer,der,-,designer (masculine)
Designerin,die,-nen,designer (feminine)
Designfan,der,-s,design fan
Dessert,das,-s,dessert
Deutsch,-,-,German
Deutschbuch,das,-er,German book
Deutschland,-,-,Germany
Deutschsprachig,-,-,German-speaking
Dezember,der,-,December
Dialog,der,-e,dialogue
Dich,-,-,"you (accusative, informal)"
direkt,-,-,direct
dirigieren,-,-,to direct
diskutieren,-,-,to discuss
doch,-,-,"but, however"
Doktor,der,-en,doctor
Döner,der,-,kebab
Donnerstag,der,-e,Thursday
doof,-,-,stupid
doppelt,-,-,double
Doppelzimmer,das,-e,double room
Dorf,das,-er,village
Dose,die,-n,can
draußen,-,-,outside
drei,-,-,three
dreimal,-,-,three times
dreißig,-,-,thirty
dreizehn,-,-,thirteen
dritt,-,-,third
drucken,-,-,to print
Drucker,der,-,printer
du,-,-,you (informal)
dunkel,-,-,dark
durch,-,-,through
dürfen,-,-,to be allowed to
Durst,der,-,thirst
Dusche,die,-n,shower
duschen,-,-,to shower
Duschgel,das,-s,shower gel
ebenso,-,-,likewise
echt,-,-,"real, genuine"
Ecke,die,-n,corner
egal,-,-,equal
Ehefrau,die,-en,wife
Ehemann,der,-,husband
Ei,das,-er,egg
eigene,-,-,own
eigentlich,-,-,actually
eilig,-,-,in a hurry
ein,ein/eine,-,a (indefinite article)
ein bisschen,-,-,a little
ein paar,-,-,a few
einfach (1),-,-,simple
einfach (2),-,-,simple (for everyone)
einfallen,-,-,to occur (to come to mind)
eingeben,-,-,"to enter (e.g., a password)"
einhundert,-,-,one hundred
Einkauf,der,-e,purchase
einkaufen,-,-,to shop
Einkaufswagen,der,-,shopping cart
Einkaufszettel,der,-,shopping list
einladen,-,-,to invite
Einladung,die,-en,invitation
Einladungs-Mail,die,-s,invitation email
einmal,-,-,once
einpacken,-,-,to pack
eins,-,-,one (numeral)
einsammeln,-,-,to collect
einschlafen,-,-,to fall asleep
einsteigen,-,-,to board (a vehicle)
eintausend,-,-,one thousand
Eintrag,der,-e,entry
Eintritt,der,-e,admission
Einweihungsfeier,die,-n,housewarming party
Einzelzimmer,das,-,single room
Eis,das,-,ice cream
elegant,-,-,elegant
Elektriker,der,-,electrician
Elektrikerin,die,-nen,female electrician
Elektrogerät,das,-e,electrical appliance
elf,-,-,eleven
Eltern,die,-,parents
E-Mail,die,-s,email
E-Mail-Adresse,die,-n,email address
Emmentaler,der,-,Emmental cheese
Empfänger,der,-,recipient
Empfängerin,die,-nen,female recipient
empfehlen,-,-,to recommend
Ende,das,-n,end
enden,-,-,to end
endlich,-,-,finally
Endung,die,-en,ending
eng,-,-,tight
Englisch,-,-,English
Englisch-Test,der,-s,English test
entdecken,-,-,to discover
Entscheidung,die,-en,decision
entschuldigen,-,-,to apologize
Entschuldigung,die,-en,apology
Erdgeschoss,das,-e,ground floor
Ereignis,das,-se,event
Erfindung,die,-en,invention
ergänzen,-,-,to supplement
Ergebnis,das,-se,result
erkältet,-,-,cold (illness)
erklären,-,-,to explain
Erlaubnis,die,-se,permission
erlaubt sein,-,-,to be allowed
erschließen,-,-,to conclude
erst,-,-,first
erste,-,-,first
Erste,der/die,-n,first (person)
Erwachsene,der/die,-n,adult
erzählen,-,-,to tell
Erzieher,der,-,educator (male)
Erzieherin,die,-nen,educator (female)
es,-,-,it
Essen,das,-,food
essen,-,-,to eat
Essig,der,-e,vinegar
etwas (1),-,-,something
etwas (2),-,-,somewhat
euch,-,-,"you (plural, accusative)"
euer,-,-,your (plural)
Euro,der,-s,Euro (currency)
Event,das,-s,event
Experiment,das,-e,experiment
Extra,-,-,special
Fachwerkhaus,das,-,half-timbered house
fahren,-,-,to drive
Fahrkarte,die,-n,ticket
Fahrrad,das,-er,bicycle
Fahrradtour,die,-en,bike tour
falsch,-,-,wrong
Familie,die,-n,family
Familienfoto,das,-s,family photo
Familienname,der,-n,family name
Fantasie,die,-,imagination
Farbe,die,-n,color
faul,-,-,lazy
Februar,der,-,February
fehlen,-,-,to be missing
fehlend,-,-,missing
Fehler,der,-e,mistake
Feier,die,-n,celebration
Feierabend,der,-e,end of work day
feiern,-,-,to celebrate
frei,-,-,"free, available"
freilhaben,-,-,to be off work
Freizeit,die,-,"leisure time, free time"
Freizeitaktivität,die,-en,leisure activity
Freizeitkleidung,die,-,leisure clothing
freuen (sich),-,-,"to be happy, to rejoice"
Freund,der,-e,friend (male)
Freundin,die,-nen,friend (female)
freundlich,-,-,friendly
frisch,-,-,fresh
Friseur,der,-e,hairdresser (male)
Friseurin,die,-nen,hairdresser (female)
froh,-,-,happy
früh,-,-,early
früher,-,-,earlier
Frühling,der,-,spring
Frühstück,das,-e,breakfast
frühstücken,-,-,to have breakfast
führen,-,-,"to lead, to conduct (a conversation)"
fünf,-,-,five
fünfzehn,-,-,fifteen
fünfzig,-,-,fifty
für (+ A.),-,-,for
Fuß,der,-e,foot
Fußball,-,-,soccer
Fußballspiel,das,-e,soccer game
Gabel,die,-n,fork
Gadget,das,-s,gadget
ganz,-,-,"complete, entire"
gar,-,-,at all
Gefallen,der,-,"favor, pleasure"
gefallen,-,-,"to like, to please"
gegen (+ A.),-,-,against
gegenseitig,-,-,mutual
gegenüber,-,-,"opposite, across from"
gehen,-,-,to go
gehören,-,-,to belong
Geige,die,-n,violin
Geigenunterricht,der,-n,violin lessons
gelb,-,-,yellow
Geld,das,-er,money
Gemüse,das,-,vegetables
gemütlich,-,-,"cozy, comfortable"
genau,-,-,"exact, precise"
genießen,-,-,to enjoy
gleich,-,-,"same, equal"
gleichfalls,-,-,likewise
Gleis,das,-e,platform
Glück,das,-,"luck, happiness"
glücklich,-,-,happy
Glückwunsch,der,-e,congratulations
Grad,der,-e,"degree, grade"
Gramm,das,-,gram
Grammatik,die,-en,grammar
grau,-,-,gray
Griechenland,-,-,Greece
grillen,-,-,to grill
Grillparty,die,-s,barbecue party
groß,-,-,"large, big"
Größe,die,-n,size
Großeltern,die,-,grandparents
Großmutter,die,-n,grandmother
Großvater,der,-e,grandfather
grüezi,-,-,hello (Swiss German)
grün,-,-,green
Grund,der,-e,"reason, cause"
Gruppe,die,-n,group
Gruß,der,-e,greeting
grüß Gott,-,-,"hello (Southern Germany, Austria)"
grüßen,-,-,to greet
Grußformel,die,-n,salutation
günstig,-,-,"favorable, cheap"
Gurke,die,-n,cucumber
gut,-,-,good
genießen,-,-,to enjoy
Gebot,das,-e,command
Geburtsdatum,das,-daten,birth date
Geburtsort,der,-e,place of birth
Geburtstag,der,-e,birthday
geehrt,-,-,honored
gefährlich,-,-,dangerous
Geschwister,die,-,siblings
Gesicht,das,-er,face
Gespräch,das,-e,conversation
Gesprächsthema,das,-themen,topic of conversation
gestern,-,-,yesterday
gesund,-,-,healthy
Getränk,das,-e,drink
getrennt,-,-,"separated, divided"
Gewicht,das,-e,weight
Glas,das,-er,glass
glauben,-,-,to believe
haben,-,-,to have
Hafen,der,-e,harbor
Hähnchen,das,-,chicken (diminutive)
halb,-,-,half
Halbe Stunde,die,-n,half an hour
Halbmarathon,der,-s,half marathon
hallo,-,-,hello
Hals,der,-e,neck
Halsschmerzen,die,-,sore throat
Haltestelle,die,-n,bus stop
Hamster,der,-n,hamster
Hand,die,-e,hand
Händler,der,-,"dealer, trader"
Hændlerin,die,-nen,"female trader, dealer"
Handschuh,der,-e,glove
Handtasche,die,-n,handbag
Handtuch,das,-er,towel
Handwerker,der,-,"craftsman, worker"
Handwerkerin,die,-nen,female craftsman
Handy-Akku,der,-s,mobile phone battery
Handynummer,die,-n,mobile phone number
hässlich,-,-,ugly
Hauptstadt,die,-e,capital city
Haus,das,-er,house
Hausaufgabe,die,-n,homework
Haushalt,der,-e,household
Haushaltswaren,die,-,household goods
Hausmeister,der,-,"caretaker, janitor"
Hausmeisterin,die,-nen,female caretaker
Hausmittel,das,-,home remedy
Hausnummer,die,-n,house number
Heft,das,-e,notebook
Heimat,die,-,homeland
heiß,-,-,hot
heißen (1),-,-,to be called (name)
heißen (2),-,-,to be named (calling)
helfen,-,-,to help
hell,-,-,bright
Helm,der,-e,helmet
Hemd,das,-en,shirt
Herbst,der,-,autumn
Herd,der,-e,stove
Herr,der,-en,"gentleman, Mr."
Herrenmode,die,-n,men's fashion
herzlich,-,-,heartfelt
Hilfe,die,-n,help
Himmelsrichtung,die,-en,cardinal direction
hinlegen (sich),-,-,to lay down
hinter (+ D.),-,-,behind
Hitze,die,-,heat
Hobby,das,-s,hobby
hoch,-,-,high
Hochhaus,das,-er,skyscraper
Hof,der,-e,"courtyard, yard"
hoffentlich,-,-,hopefully
höflich,-,-,polite
Höflichkeit,die,-,politeness
holen (1),-,-,to fetch
holen (2),-,-,to bring
Holz,das,-er,wood
Homepage,die,-s,homepage
Honig,der,-,honey
hören,-,-,to hear
Hose,die,-n,pants
Hotel,das,-s,hotel
Hotelchef,der,-s,hotel manager
Hotelchefin,die,-nen,female hotel manager
Hühnersuppe,die,-n,chicken soup
Hund,der,-e,dog
hundert,-,-,hundred
Hunger,der,-,hunger
hungrig,-,-,hungry
hurra,-,-,hooray
husten,-,-,to cough
Hustensaft,der,-e,cough syrup
Hut,der,-e,hat
ich,-,-,I
ideal,-,-,ideal
Idee,die,-n,idea
ihn,-,-,him
Ihnen,-,-,you (formal)
"Ihr, Ihre",-,-,your (formal)
ihr (1),-,-,you (plural)
ihr (2),-,-,their
immer,-,-,always
Imperativ,der,-e,imperative
in (1) (+ D.),-,-,in (location)
in (2) (+ D.),-,-,"in (city, country)"
in (3) (+ D.),-,-,in (time)
Individualist,der,-en,individualist
Individualistin,die,-nen,female individualist
individuell,-,-,individual
Indonesisch,-,-,Indonesian
Infinitiv,der,-e,infinitive
Informatiker,der,-,computer scientist
Informatikerin,die,-nen,female computer scientist
Information,die,-en,information
informell,-,-,informal
Infotext,der,-e,information text
Ingenieur,der,-e,engineer
Ingenieurin,die,-nen,female engineer
inhalieren,-,-,to inhale
inoffiziell,-,-,unofficial
Insel,die,-n,island
insgesamt,-,-,altogether
interessant,-,-,interesting
interessieren,-,-,to interest
international,-,-,international
Internet,das,-,internet
Jacke,die,-n,jacket
Jahr (1),das,-e,year (duration)
Jahr (2),das,-e,year (age)
Jahrestreffen,das,-,annual meeting
Jahreszeit,die,-en,season
Januar,der,-,January
Japan,-,-,Japan
Japanisch,-,-,Japanese
Jeans,die,-,jeans
"jede, jeder",-,-,"each, every"
jemand,-,-,someone
jetzt,-,-,now
Job,der,-s,job
Job-Portal,das,-e,job portal
joggen,-,-,to jog
Joghurt,der/das,-s,yogurt
Journalist,der,-en,journalist
Journalistin,die,-nen,female journalist
Jugendherberge,die,-n,youth hostel
Jugendliche,der/die,-n,youth
Juli,der,-,July
jung,-,-,young
Junge,der,-n,boy
Juni,der,-,June
Jurist,der,-en,lawyer
Juristin,die,-nen,female lawyer
k.o,-,-,knocked out
Kaffee,der,-s,coffee
Kaffeehaus,das,-er,coffeehouse
Kaffeemaschine,die,-n,coffee machine
Kalender,der,-,calendar
kalt,-,-,cold
Kamera,die,-s,camera
Kantine,die,-n,canteen
Kapitel,das,-e,chapter
kaputt,-,-,broken
Karate,-,-,karate
Karriere,die,-n,career
Karte (1),die,-n,card (note)
Karte (2),die,-n,map
Karte (3),die,-n,card (payment method)
Karte (4),die,-n,map
Kartoffel,die,-n,potato
Karussell,das,-e,carousel
Käse,der,-,cheese
Kasse,die,-n,cash register
Kassenzettel,der,-,receipt
kaufen,-,-,to buy
Kaufhaus,das,-er,department store
kaum,-,-,hardly
"kein, keine",-,-,"no, none"
Keks,der/das,-e,cookie
Kellner,der,-,waiter
Kellnerin,die,-nen,waitress
kennen,-,-,to know (a person)
kennen lernen,-,-,to get to know
Kilo,das,-s,kilogram (kg)
Kilogramm,das,-s,kilogram (kg)
Kilometer,der,-,kilometer
Kranke,der/die,-n,sick person
Krankenhaus,das,-er,hospital
Krankenpfleger,der,-,male nurse
Krankenpflegerin,die,-nen,female nurse
Krankheit,die,-en,illness
Krawatte,die,-n,tie
kreativ,-,-,creative
Kreditkarte,die,-n,credit card
Kuchen,der,-,cake
Kugelschreiber,der,-,ballpoint pen
Kühlschrank,der,-e,refrigerator
Kultur,die,(Sg.),culture
Lehrerin,die,-nen,female teacher
leicht,-,-,"light, easy"
leider,-,-,unfortunately
leid tun,-,-,to be sorry
leise,-,-,quiet
lernen,-,-,to learn
Lernkarte,die,-n,flashcard
Lernwortschatz,der,-e,vocabulary
lesen,-,-,to read
letzte,-,-,last
Leute,die,(Pl.),people
Licht,das,-er,light
lieb,-,-,"dear, beloved"
lieben,-,-,to love
Kind,das,-er,child
Kindergarten,der,-,kindergarten
Kinderzimmer,das,-,children's room
Kino,das,-s,cinema
Küche,die,-n,kitchen
Kirche,die,-n,church
Kiste,die,-n,box
Klamotten,die,(Pl.),clothes
klar (1),-,-,"clear (e.g., ""Of course"")"
klar (2),-,-,"clear (e.g., ""Everything is clear"")"
Kultur-Nacht,die,-e,culture night
Kleid,das,-er,dress
Kleidergeschäft,das,-e,clothing store
Kleiderkauf,der,-e,clothing purchase
Kunde,der,-n,customer
Kundenbesuch,der,-e,customer visit
Lied,das,-er,song
Künstlerin,die,-nen,female artist
Kunst,die,-en,art
Kunsthalle,die,-n,art gallery
Kurs,der,-e,course
Kursplakat,das,-e,course poster
Kursraum,der,-e,course room
Kursstatistik,die,-en,course statistics
kurz (1),-,-,"short (e.g., short text)"
kurz (2),-,-,"short (e.g., time-related)"
Kurzform,die,-en,abbreviation
Kneipe,die,-n,pub
Knie,das,-,knee
Koch,der,-e,cook (male)
kochen,-,-,to cook
Köchin,die,-nen,cook (female)
Koffer,der,-,suitcase
Labor,das,-e,laboratory
Kollege,der,-n,colleague (male)
Kollegin,die,-nen,colleague (female)
kommen,-,-,to come
Kommentar,der,-e,comment
Kompositum,das,-e,compound word
können,-,-,can (ability)
Konsonant,der,-en,consonant
Kontakt,der,-e,contact
Kontext,der,-e,context
Konto,das,-en,account
Kontrolle,die,-n,control
kontrollieren,-,-,to control
Konzert,das,-e,concert
Kopf,der,-e,head
Laborant,der,-en,laboratory assistant (male)
Laborantin,die,-nen,laboratory assistant (female)
Laden,der,-,store
Lage,die,-n,location
Lampe,die,-n,lamp
Land,das,-er,country
Landschaft,die,-en,landscape
lang,-,-,long
langsam,-,-,slow
langweilig,-,-,boring
laufen,-,-,to run/walk
laut,-,-,loud
Leben,das,-,life
leben,-,-,to live
lebendig,-,-,"alive, lively"
Lebensmittel,das,-,food
Kopfschmerzen,die,(Pl.),headache
Körper,der,-,body
Körperteil,der,-e,body part
korrigieren,-,-,to correct
lecker,-,-,delicious
Kosmetik,die,-a,cosmetics
Kosten,die,(Pl.),costs
leer (1),-,-,empty (battery)
kosten,-,-,to cost
leer (2),-,-,empty (fridge)
Lieblingsfarbe,die,-n,favorite color
Lieblingsort,der,-e,favorite place
Lieblingszimmer,das,-,favorite room
liegen,-,-,to lie (position)
Limonade,die,-n,lemonade
links,-,-,left
Liste,die,-n,list
Liter,der,-,liter
Löffel,der,-,spoon
Loft,das,-s,loft
Lokal,das,-e,local (restaurant/bar)
Lösung,die,-en,solution
Lust,die,(Sg.),"desire, wish"
lustig,-,-,funny
machen,-,-,"to do, make"
Mädchen,das,-,girl
Mahlzeit,die,-en,"meal, lunch"
Mai,der,-,May
Mail,die,-s,email
Mal,das,-e,time (event)
malen,-,-,to paint
Mann,der,⸻er,man
Mann (2),der,⸻er,husband
Mann,der,Männer,man
männlich,-,-,masculine
Mantel,der,Mäntel,coat
Marathon,der,-s,marathon
markieren,-,-,to mark
Markt,der,Märkte,market
Marmelade,die,Marmeladen,jam
März,der,-,March
maskulin,-,-,masculine
Maß,das,Maße,measure
Mathe-Test,der,-s,math test
Maus,die,Mäuse,mouse
maximal,-,-,maximum
Mechaniker,der,-,mechanic
Mechanikerin,die,-nen,female mechanic
Medien,die,-,media
Medikament,das,Medikamente,medicine
Meer,das,Meere,sea
mehr,-,-,more
mehrere,-,-,several
"mein, meine",-,-,my
meinen,-,-,my (accusative)
meistens,-,-,mostly
melden (sich),-,-,to report (oneself)
Mensa,die,Mensen,cafeteria
Mensch,der,Menschen,person
merken,-,-,to notice
Messer,das,Messer,knife
Meter,der,Meter,meter
Methode,die,Methoden,method
Metzgerei,die,Metzgereien,butcher shop
Mexiko,-,-,Mexico
mich,-,-,me (accusative)
Miete,die,Mieten,rent
Milch,die,-,milk
Milliarde,die,Milliarden,billion
Million,die,Millionen,million
mindestens,-,-,at least
Mindmap,die,-s,mind map
minus,-,-,minus
Minute,die,Minuten,minute
mir,-,-,me (dative)
mischen,-,-,to mix
Missfallen,das,-,displeasure
Mist,der,-,mist
Mistwetter,das,-,bad weather
mit,-,-,with
Mitarbeiter,der,-,employee
Mitarbeiterin,die,-nen,female employee
mitbringen,-,-,to bring with
Mitglied,das,Mitglieder,member
mitkommen,-,-,to come with
mitlesen,-,-,to read along
mitmachen,-,-,to participate
mitnehmen,-,-,to take with
mitsprechen,-,-,to speak along
Mittag,der,Mittage,midday
Mittagessen,das,-,lunch
mittags,-,-,at noon
Mittagspause,die,-n,lunch break
Mitte,die,-,middle
Mittwoch,der,-e,Wednesday
Möbel,die,-,furniture
möchten,-,-,to want
Modalverb,das,-en,modal verb
Mode,die,-n,fashion
Modedesigner,der,-,fashion designer
Modedesignerin,die,-nen,female fashion designer
Modefan,der,-s,fashion fan
Modell,das,-e,model
Modeschule,die,-n,fashion school
mögen,-,-,to like
Möglichkeit,die,-en,possibility
moin,-,-,"hello (informal, used in Northern Germany)"
Moment,der,-e,moment
Monat,der,-e,month
Montag,der,-e,Monday
morgen,-,-,tomorrow
Morgen,der,-e,morning
morgens,-,-,in the morning
Motorrad,das,-er,motorcycle
müde,-,-,tired
Mund,der,Münder,mouth
Museum,das,Museen,museum
Musik,die,-,music
Musikgruppe,die,-n,music group
